13,Lizuca,200,10,23,26,45,23,19,34,46,23,35,48,55,
26,Prichindel,150,10,23,26,45,23,19,34,46,23,35,48,55,
43,Angels,170,10,23,26,45,23,19,34,46,23,35,48,55,
11,Nicholas,280,10,23,26,45,23,19,34,46,23,35,48,55,
34,Angels,170,10,23,26,45,23,19,34,46,23,35,48,55,
27,Lizuca,200,10,23,26,45,23,19,34,46,23,35,48,55,
2,Prichindel,150,10,23,26,45,23,19,34,46,23,35,48,55,
32,Angels,170,10,23,26,45,23,19,34,46,23,35,48,55,
51,Nicholas,280,10,23,26,45,23,19,34,46,23,35,48,55,
14,Angels,170,10,23,26,45,23,19,34,46,23,35,48,55,
